USERID,r_score,f_score,m_score,rfm_wscore
51989,4,1,1,2.8
51990,5,1,1,3.4
51995,5,1,1,3.4
51996,4,1,1,2.8
51997,3,1,1,2.1999999999999997
51998,5,1,1,3.4
51999,5,1,1,3.4
52000,4,1,1,2.8
52003,5,1,1,3.4
52007,4,1,1,2.8
52009,4,2,1,3.1
52013,3,1,1,2.1999999999999997
52015,2,1,1,1.6
52016,5,1,1,3.4
52017,3,1,1,2.1999999999999997
52020,5,1,1,3.4
52021,5,1,1,3.4
52022,5,1,1,3.4
52025,4,1,1,2.8
52026,3,1,1,2.1999999999999997
52029,4,1,1,2.8
52032,3,1,1,2.1999999999999997
52034,3,1,1,2.1999999999999997
52035,2,1,1,1.6
52036,3,1,1,2.1999999999999997
52038,5,1,1,3.4
52039,3,1,1,2.1999999999999997
52040,4,1,1,2.8
52041,4,1,1,2.8
52042,3,1,1,2.1999999999999997
52045,3,1,1,2.1999999999999997
52046,1,1,1,0.9999999999999999
52048,5,1,1,3.4
52050,2,1,1,1.6
52052,4,1,1,2.8
52053,5,1,1,3.4
52054,3,1,1,2.1999999999999997
52057,3,1,1,2.1999999999999997
52058,2,1,1,1.6
52060,3,1,1,2.1999999999999997
52061,4,1,1,2.8
52062,4,1,1,2.8
52065,2,1,1,1.6
52066,4,1,1,2.8
52067,4,1,1,2.8
52070,1,1,1,0.9999999999999999
52071,4,1,1,2.8
52072,1,1,1,0.9999999999999999
52074,1,1,1,0.9999999999999999
52077,4,1,1,2.8
52082,5,1,1,3.4
52083,4,1,1,2.8
52084,4,1,1,2.8
52087,2,1,1,1.6
52094,5,1,1,3.4
52098,2,1,1,1.6
52102,3,2,1,2.5
52103,3,1,1,2.1999999999999997
52107,2,1,1,1.6
52108,2,1,1,1.6
52114,2,1,1,1.6
52115,2,1,1,1.6
52117,1,1,1,0.9999999999999999
52122,3,1,1,2.1999999999999997
52123,3,1,1,2.1999999999999997
52125,1,1,1,0.9999999999999999
52126,1,1,1,0.9999999999999999
52129,3,1,1,2.1999999999999997
52130,5,1,1,3.4
52132,1,1,1,0.9999999999999999
52133,4,1,1,2.8
52135,3,1,1,2.1999999999999997
52136,3,1,1,2.1999999999999997
52138,2,1,1,1.6
52139,4,1,1,2.8
52141,2,1,1,1.6
52144,5,1,1,3.4
52150,2,1,1,1.6
52151,4,1,1,2.8
52153,1,1,1,0.9999999999999999
52154,5,1,1,3.4
52156,3,1,1,2.1999999999999997
52157,5,1,1,3.4
52158,5,1,1,3.4
52162,2,1,1,1.6
52163,1,1,1,0.9999999999999999
52164,4,1,1,2.8
52165,4,1,1,2.8
52169,2,1,1,1.6
52171,3,1,1,2.1999999999999997
52172,5,1,1,3.4
52181,1,1,1,0.9999999999999999
52185,3,1,1,2.1999999999999997
52186,3,1,1,2.1999999999999997
52189,3,1,1,2.1999999999999997
52190,5,1,1,3.4
52192,1,1,1,0.9999999999999999
52193,1,1,1,0.9999999999999999
52194,3,1,1,2.1999999999999997
52196,5,1,1,3.4
52198,5,1,1,3.4
52202,2,1,1,1.6
52204,2,1,1,1.6
52205,3,1,1,2.1999999999999997
52207,1,1,1,0.9999999999999999
52208,3,2,1,2.5
52211,5,1,1,3.4
52215,4,1,1,2.8
52218,1,1,1,0.9999999999999999
52219,5,1,1,3.4
52222,2,1,1,1.6
52223,3,1,1,2.1999999999999997
52225,5,1,1,3.4
52226,3,1,1,2.1999999999999997
52227,3,1,1,2.1999999999999997
52228,3,1,1,2.1999999999999997
52229,5,1,1,3.4
52231,3,1,1,2.1999999999999997
52233,4,1,1,2.8
52235,3,1,1,2.1999999999999997
52236,3,1,1,2.1999999999999997
52237,4,1,1,2.8
52239,5,1,1,3.4
52241,3,1,1,2.1999999999999997
52242,4,1,1,2.8
52246,5,1,1,3.4
52249,2,1,1,1.6
52255,3,1,1,2.1999999999999997
52259,1,1,1,0.9999999999999999
52261,2,1,1,1.6
52263,2,1,1,1.6
52266,3,1,1,2.1999999999999997
52268,3,1,1,2.1999999999999997
52269,4,1,1,2.8
52271,2,1,1,1.6
52276,1,1,1,0.9999999999999999
52278,4,1,1,2.8
52281,3,1,1,2.1999999999999997
52282,2,1,1,1.6
52284,5,1,1,3.4
52285,1,1,1,0.9999999999999999
52286,2,1,1,1.6
52287,5,1,1,3.4
52291,5,1,1,3.4
52292,5,1,1,3.4
52293,5,1,1,3.4
52294,3,1,1,2.1999999999999997
52297,5,2,1,3.7
52299,3,1,1,2.1999999999999997
52300,1,1,1,0.9999999999999999
52303,2,1,1,1.6
52308,3,1,1,2.1999999999999997
52310,5,1,1,3.4
52313,3,1,1,2.1999999999999997
52315,5,1,1,3.4
52316,3,1,1,2.1999999999999997
52319,4,1,1,2.8
